country_name,country_code,year,Tax
South Africa,ZA,2007,
Spain,ES,2007,
Sweden,SE,2007,132.8571429
Switzerland,CH,2007,
Ukraine,UA,2007,
Uruguay,UY,2007,
Albania,AL,2007,
China,CN,2007,
Hungary,HU,2007,
Mexico,MX,2007,
Andorra,AD,2007,
Argentina,AR,2008,
Canada,CA,2008,
Chile,CL,2008,
Colombia,CO,2008,
Denmark,DK,2008,19.38108535
Estonia,EE,2008,0
Finland,FI,2008,31.02246
France,FR,2008,
Iceland,IS,2008,
Ireland,IE,2008,
Israel,IL,2008,
Japan,JP,2008,
Latvia,LV,2008,0
Liechtenstein,LI,2008,11.91895113
Luxembourg,LU,2008,
Mexico,MX,2008,
Netherlands,NL,2008,
Norway,NO,2008,104.9568338
Poland,PL,2008,0.103069684
Portugal,PT,2008,
Singapore,SG,2008,
Slovenia,SI,2008,19.575
South Africa,ZA,2008,
Spain,ES,2008,
Sweden,SE,2008,168.8257417
Switzerland,CH,2008,11.91895113
Ukraine,UA,2008,
Uruguay,UY,2008,
Albania,AL,2008,
China,CN,2008,
Hungary,HU,2008,
Mexico,MX,2008,
Andorra,AD,2008,
Argentina,AR,2009,
Canada,CA,2009,
Chile,CL,2009,
Colombia,CO,2009,
Denmark,DK,2009,16.74428115
Estonia,EE,2009,0
Finland,FI,2009,27.035086
France,FR,2009,
Iceland,IS,2009,
Ireland,IE,2009,
Israel,IL,2009,
Japan,JP,2009,
Latvia,LV,2009,0
Liechtenstein,LI,2009,21.03786816
Luxembourg,LU,2009,
Mexico,MX,2009,
Netherlands,NL,2009,
Norway,NO,2009,80.95174203
Poland,PL,2009,0.075578935
Portugal,PT,2009,
Singapore,SG,2009,
Slovenia,SI,2009,16.5575
South Africa,ZA,2009,
Spain,ES,2009,
Sweden,SE,2009,126.5822785
Switzerland,CH,2009,21.03786816
Ukraine,UA,2009,
Uruguay,UY,2009,
Albania,AL,2009,
China,CN,2009,
Hungary,HU,2009,
Mexico,MX,2009,
Andorra,AD,2009,
Argentina,AR,2010,
Canada,CA,2010,
Chile,CL,2010,
Colombia,CO,2010,
Denmark,DK,2010,27.93787258
Estonia,EE,2010,0
Finland,FI,2010,27.488188
France,FR,2010,
Iceland,IS,2010,8.843175828
Ireland,IE,2010,20.17719644
Israel,IL,2010,
Japan,JP,2010,
Latvia,LV,2010,0
Liechtenstein,LI,2010,34.21077639
Luxembourg,LU,2010,
Mexico,MX,2010,
Netherlands,NL,2010,
Norway,NO,2010,90.59606191
Poland,PL,2010,0.087947654
Portugal,PT,2010,
Singapore,SG,2010,
